City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Hay River,CA,2022-12-07 23:30:25,60.8156,-115.7999,243.14,69,20,1.03
272,Colares,PT,2022-12-07 23:34:05,38.7992,-9.4469,289.13,96,60,7.6
273,Verkhnyaya Toyma,RU,2022-12-07 23:34:06,62.2349,44.9985,262.42,91,88,2.08
274,Mumford,GH,2022-12-07 23:34:07,5.2618,-0.759,299.61,85,63,3.85
275,Verkhnyaya Inta,RU,2022-12-07 23:34:07,65.9811,60.3094,263.51,93,100,9.14
276,Vanimo,PG,2022-12-07 23:34:08,-2.6741,141.3028,298.02,92,100,1.16
277,Mayumba,GA,2022-12-07 23:34:08,-3.432,10.6554,297.15,90,100,1.4
278,Constitucion,CL,2022-12-07 23:34:09,-35.3333,-72.4167,288.68,92,19,2.21
279,Nishihara,JP,2022-12-07 23:34:09,26.1842,127.7558,294.18,71,75,9.77
280,Pacific Grove,US,2022-12-07 23:34:10,36.6177,-121.9166,287.83,73,40,3.09
281,Amazar,RU,2022-12-07 23:34:10,53.858,120.875,247.64,97,15,1.42
282,Broome,US,2022-12-07 23:34:11,42.2506,-75.833,284.27,84,100,3.6
283,Komsomolskiy,UZ,2022-12-07 23:34:12,40.4272,71.7189,273.55,86,75,1.03
284,Souillac,MU,2022-12-07 23:34:12,-20.5167,57.5167,298.36,83,75,5.66
285,Taltal,CL,2022-12-07 23:34:13,-25.4,-70.4833,291.15,82,58,0.9
286,Aripuana,BR,2022-12-07 23:34:13,-9.1667,-60.6333,298.61,79,96,0.91
287,Basoko,CD,2022-12-07 23:34:14,1.2391,23.616,294.41,92,100,1.25
288,Lavrentiya,RU,2022-12-07 23:34:14,65.5833,-171.0,262.88,83,59,3.75
289,Provideniya,RU,2022-12-07 23:32:14,64.3833,-173.3,266.21,73,75,3.13
290,Kathu,TH,2022-12-07 23:34:15,7.9178,98.3332,298.05,83,65,4.25
291,Cabo San Lucas,MX,2022-12-07 23:32:36,22.8909,-109.9124,301.82,75,20,4.12
